,mean_IG,mean_DL,mean_GS,mean_GB,mean_IXG,feature_names,borda_rank
481,8.198055479002735e-05,8.186808652696415e-07,1.3404536622926153e-05,0.0008885769077831,2.3729166234904093e-05,TFs_and_others_ZNF577,1844.0
352,0.0009947741183708,-4.032427175565237e-07,0.0001742924618986,0.001702737996876,0.0002944636052217,Histone_H3K36ac,1871.0
1030,0.001234578262815,-1.398073926708021e-07,2.827218462816515e-05,0.0015600930935061,0.0002032772944992,TFs_and_others_CHD8,1888.0
1800,0.0001922698101871,1.7328466666715585e-06,-3.335260070915105e-06,0.0014994968266007,0.0001348624828472,TFs_and_others_BAHCC1,1894.0
647,0.0003138132142362,1.0366777896935385e-06,4.343189978994181e-05,0.000816026676525,1.9828958303283255e-05,TFs_and_others_SAFB,1898.0
1570,0.0010200621250472,-4.0515883319305174e-07,8.637299270478294e-05,0.0014578618805818,0.000573314421004,TFs_and_others_KDM5B,1934.0
213,0.0001000619335075,2.75572626499549e-07,-3.044703018741541e-06,0.0016276280662459,0.0003017789680998,TFs_and_others_NRL,1946.0
349,0.0022987813741103,-2.8490878111004305e-06,8.530755123181923e-05,0.0025291526125137,0.0005610086206539,TFs_and_others_SUZ12,1949.0
93,4.071844454073919e-05,2.579003440885386e-07,5.281811322128064e-06,0.0008888538186569,9.044589946954212e-05,TFs_and_others_CHD6,1964.0
694,0.0025022466962007,-6.806738561434783e-06,8.71283944094632e-05,0.004763102143622,0.0005524586972354,TFs_and_others_KLF4,1966.0
602,0.0024985552512788,-2.174300870451741e-06,2.744815383995672e-05,0.0031346498080207,0.0005089386389771,TFs_and_others_TET2,1997.0
1331,0.0011966344602477,-1.3098208091496395e-06,3.57913513545399e-05,0.0031655792081071,0.0001514705079622,TFs_and_others_CDKN1B,2002.0
1485,0.0001268583652332,4.624965254655578e-09,6.210055631097409e-08,0.0010901392359806,6.126880563019814e-05,TFs_and_others_XPO1,2005.0
1127,0.0013489008147998,-2.6680698384993505e-06,0.0001549069336939,0.0017089387309665,0.0008641627889462,TFs_and_others_CREB1,2008.0
1003,0.0007526528759766,1.3488149305198621e-07,-7.037848270955527e-06,0.0013931410091549,0.0002663255220883,TFs_and_others_RBBP7,2009.0
49,2.8689554691967196e-05,1.6576560194628127e-07,1.2414329744445505e-06,0.0010227219831184,3.294442831271108e-05,TFs_and_others_BAP1,2015.0
1363,0.0006732582689133,-1.4862948066108197e-06,0.0004710295437447,0.0015549631070531,0.0004104437019919,TFs_and_others_VEZF1,2020.0
1660,3.387456112035832e-05,6.249562922487938e-09,9.758039584395896e-06,0.0012307633160455,6.221444302020324e-06,TFs_and_others_STAT6,2024.0
232,2.8648714192785533e-05,1.897588022017506e-09,4.51520710281878e-06,0.0013664677947821,1.80640866474607e-05,TFs_and_others_ARHGAP35,2044.0
1175,-0.0002201319652447,1.736834912309661e-07,3.336308580814731e-05,0.003274926634894,0.0007247381079116,TFs_and_others_RBFOX2,2045.0
342,0.0032306213767746,-6.27232134566957e-06,4.969143887826598e-05,0.0027848140610524,0.0002505295255695,TFs_and_others_SMC1A,2048.0
599,7.784976020599913e-06,1.9936636173169283e-08,6.635655169591371e-06,0.0028783681082407,2.9227860196412806e-06,TFs_and_others_TOX2,2055.0
646,6.454218432409987e-05,3.4209361813069887e-09,1.3718467810956757e-06,0.0011075428188998,3.2265171832312936e-05,TFs_and_others_ZNF556,2065.0
1511,7.929088592490885e-05,9.769948476301322e-08,1.952360619779094e-06,0.0008867097678976,8.973091014585069e-05,TFs_and_others_TOE1,2073.0
35,0.0010163462803611,-9.844477767806626e-08,2.6927322282406417e-06,0.002948487120882,0.0002670796598162,TFs_and_others_CHD1,2082.0
1665,0.0008428355901444,-1.4926181981052551e-06,0.0001387297580721,0.0023565911989386,6.418117087491028e-05,TFs_and_others_STAT1,2082.0
1179,0.0002140359235049,8.854213102238627e-08,-1.65346927733308e-06,0.0012635368578608,0.000126296240294,TFs_and_others_MKL1,2091.0
901,0.0021124923120758,-2.4221712656369765e-06,0.0001190330493687,0.002417060422721,7.405455745212707e-05,TFs_and_others_MAZ,2091.0
1777,0.0001857822241947,-1.3975913020895985e-06,5.027468658882746e-05,0.002610264477622,0.0003048796178653,TFs_and_others_HDAC1,2093.0
1167,0.0007717138365734,-8.234985937792569e-08,8.857186115979585e-06,0.0014250547573278,0.0001861511494334,TFs_and_others_POU2F1,2103.0
257,0.0001708327147164,7.59807251744787e-07,8.491737620915418e-06,0.0009252788585674,1.5885616003196691e-06,TFs_and_others_EBF3,2127.0
494,0.0007602024323327,-3.068039227266418e-09,1.054593950072533e-06,0.0012606803974142,8.375674337291038e-05,TFs_and_others_BRD9,2137.0
329,0.0013376582925286,-2.699595084236277e-06,2.287914820711515e-05,0.0019507959330643,0.0003335705268895,TFs_and_others_STAT3,2151.0
1307,0.0013344407699446,-3.4479357049364814e-07,4.644306038444906e-05,0.0012077772724313,9.13473913595769e-05,TFs_and_others_SMAD4,2178.0
1929,8.98799224335605e-05,4.636206421490272e-08,4.800124966268298e-06,0.0008655926866004,4.0672212315021256e-05,TFs_and_others_ZNF431,2189.0
606,0.0012243330844961,-7.797055585820018e-07,1.504733229817267e-05,0.0015740826327485,0.0002316102964205,TFs_and_others_SNAI2,2204.0
895,0.0003145057680298,1.0305229585724505e-06,2.8507994664783897e-05,0.0014500553163435,-1.1503176871292877e-05,TFs_and_others_ARID4B,2211.0
1381,0.0012133988370689,-1.6485941338936458e-07,1.4326100108327437e-05,0.0012711916035729,0.0001108069288185,TFs_and_others_ZEB1,2220.0
506,0.0005685760555589,-3.6904481248711825e-08,2.548942241749804e-05,0.0011519133758699,2.9598080760659523e-05,TFs_and_others_CUL4A,2225.0
1004,0.0004577989100274,-1.791024332784196e-06,3.056080525883492e-05,0.001595503098221,0.0002204445276747,TFs_and_others_CXXC5,2226.0
418,7.44556204844455e-05,3.653851913277936e-07,8.913423532233648e-06,0.0008299421117249,2.306141800536475e-05,TFs_and_others_ZNF366,2243.0
847,0.0001563344681463,1.8197116326109705e-07,6.402386834850189e-06,0.0008714857183623,7.878614441286897e-06,TFs_and_others_ZMAT3,2245.0
76,5.05391838915516e-05,7.187553951921289e-09,8.47755402513794e-06,0.0009937557061831,6.749886676669671e-06,TFs_and_others_ZNF830,2253.0
158,0.0010738007297687,-4.089400264549722e-07,1.2118406364280495e-05,0.0013106631100031,0.0003701636761135,TFs_and_others_SS18,2261.0
312,0.0011371063962765,-9.031579075797573e-06,1.7051201603058903e-05,0.001642917609455,0.0009077308014393,TFs_and_others_RAD21,2321.0
684,0.0004316314963385,-2.3131565008492366e-07,4.9225399243755633e-05,0.0011259937224537,6.228804464286663e-05,TFs_and_others_PAXIP1,2322.0
1332,0.0001092429291222,-1.9088481100311693e-05,0.0001700732639021,0.0049206016015105,0.0001150688613318,TFs_and_others_MAX,2325.0
861,0.0005650346154746,-2.409189207017124e-06,1.7253691338687665e-05,0.0017017753267196,0.0001469769680105,TFs_and_others_RAG2,2345.0
549,8.852551901466843e-05,-8.594705388193778e-07,0.0004505117959828,0.0013452056432622,0.0001700048841198,TFs_and_others_YY1,2346.0
1143,0.0004152174588855,3.146713322915319e-07,-1.0134926404380203e-05,0.0010463988585114,0.0001377819471281,TFs_and_others_ZNF384,2348.0
75,0.0005629303767322,-1.0322254210593055e-05,5.47668662491374e-05,0.0014123313763466,0.0002262307328311,TFs_and_others_KLF3,2350.0
1762,0.000225254321583,3.163065101636812e-07,9.746785074460547e-06,0.0007727166643082,9.03276798742695e-05,TFs_and_others_CREBBP,2352.0
1707,0.0009673812188436,-6.601933391737444e-07,3.699327267887894e-06,0.001980413982695,0.0003288814557545,RNA_polymerase_POLR2B,2358.0
655,0.0003706970332329,-1.4319408776761716e-05,1.9785371197445507e-05,0.0020184502872397,0.0002289089377884,TFs_and_others_SUMO2,2383.0
1671,0.0002664591214417,-2.7637388452806442e-08,1.9988861882121312e-05,0.0009369634517375,0.0001505786896599,TFs_and_others_PITX1,2384.0
1006,0.0001710961665051,-1.734235937790707e-08,2.6423990340534837e-05,0.0009496947762727,7.218930182165592e-05,TFs_and_others_HIVEP1,2385.0
1802,0.0004132012514949,-1.909580413682315e-07,8.299566056849761e-05,0.001135669712163,2.809881646700853e-05,TFs_and_others_FOXA2,2391.0
651,0.0008309649539073,-1.3051669707904205e-06,7.173297407764173e-05,0.0010176958218419,0.0004573428018969,TFs_and_others_IKZF1,2401.0
628,7.296646800969799e-06,9.931209423250718e-07,3.047998997248261e-05,0.0008440598604851,8.013817232807837e-06,TFs_and_others_POU2F2,2415.0
1138,0.0001182338296566,-3.042321728812116e-09,2.8790301301577977e-06,0.0011476898639609,3.9960960507648925e-05,TFs_and_others_RBM39,2416.0
491,0.0014639590054843,1.8608871771601826e-07,-1.93673294870102e-05,0.0010645809958484,0.0001541671436333,TFs_and_others_GMEB1,2416.0
501,0.0010716968937487,-5.843899472520829e-07,3.200242795922154e-05,0.0010512022716355,0.0001117345643309,TFs_and_others_PGR,2424.0
1330,5.425045852216367e-06,1.490662890714338e-07,4.708872054888226e-06,0.0012100882004057,1.3267401834700354e-06,TFs_and_others_REC8,2432.0
1438,0.0001734060017865,-1.1847537634490504e-09,3.339433970296688e-05,0.0009104574344437,2.171996324045113e-05,TFs_and_others_ZBTB38,2434.0
389,9.144619389287352e-05,-8.625045169401538e-09,7.779903111985875e-08,0.0018486205985841,4.804265112231643e-05,Histone_H3K9Kac,2460.0
784,0.0001112872500976,-4.956318153904705e-07,0.0003479616854233,0.001053567357875,0.0001642815343545,TFs_and_others_AFF1,2470.0
1032,0.0002309116829432,-5.4963672475069536e-08,2.5342563557332936e-06,0.0012483659483526,0.0001330534241449,TFs_and_others_KDM4C,2471.0
1135,0.0001762549721233,-1.5852885735311378e-07,4.819552333857296e-06,0.0013407761173133,0.00027485707466,TFs_and_others_ETS1,2473.0
280,0.0005031394141401,-6.38433512413793e-07,9.346269556708036e-06,0.0011906686769717,0.0001872047763512,TFs_and_others_ATF2,2507.0
439,0.0006196453034191,-8.987984384173481e-07,1.192524398961128e-05,0.0011986025379635,0.0001455344550431,TFs_and_others_SFPQ,2517.0
1808,0.0002415394457228,-4.259661155299179e-07,1.7286475257179924e-05,0.0013777690552493,3.756586836674301e-05,TFs_and_others_CPSF4,2520.0
1763,0.0001262332145455,2.2241454330407065e-08,8.982635113180139e-07,0.0008261077682295,6.291196008994785e-05,TFs_and_others_BRD7,2521.0
738,-0.0001708997827893,2.6664718635636664e-07,1.2278684411062636e-05,0.001361974909166,0.0001050754141909,TFs_and_others_NFYA,2523.0
1934,6.260126939475751e-05,1.5575130466175108e-08,5.30516573553733e-07,0.0011095766635197,1.446910065071583e-06,TFs_and_others_CAMTA2,2523.0
1556,8.39501674196516e-06,1.2706134368004228e-07,2.7366117255721143e-06,0.0009206427728753,1.448209764852693e-05,TFs_and_others_NFATC3,2527.0
1133,8.253484148004738e-05,-1.3529127035737e-09,3.132417027834598e-05,0.0009051160443856,2.402932481810385e-05,TFs_and_others_ZSCAN4,2540.0
285,0.0002639256854894,-3.432156172394169e-08,5.7995041317231486e-05,0.0009375982957184,2.4039045224832896e-05,TFs_and_others_SOX13,2549.0
792,6.898914968166051e-05,2.017595542113242e-09,1.8395361108724897e-08,0.0009804423668726,1.656896255742626e-05,TFs_and_others_ZNF839,2556.0
1103,0.0002176408324856,-2.786718563877461e-08,8.009237231620525e-06,0.0011597471728085,1.917378502192594e-05,Histone_H4K91ac,2560.0
1125,4.9749304548571695e-06,3.926621953044709e-10,1.089914357053894e-05,0.0011417052100901,2.740018643231758e-06,TFs_and_others_TET3,2565.0
318,0.0002382472652274,-6.187430984824689e-07,1.1920832864756302e-05,0.001264642927001,7.94042307895654e-05,TFs_and_others_RCOR1,2579.0
1160,0.0002691188849679,-2.493011486137675e-08,8.197618875062064e-07,0.0011979981462008,4.849877796977492e-05,TFs_and_others_MLXIP,2580.0
487,0.0001478234808691,-1.1668052729502277e-06,3.0030102303145958e-05,0.0012893209839025,5.074984681370001e-05,TFs_and_others_DPF2,2585.0
331,9.890513131683184e-05,2.41650953831372e-07,3.79534621104536e-05,0.0007083597248059,2.9255938288417103e-05,TFs_and_others_ILF3,2587.0
1218,0.0001656088240642,9.899683187788848e-08,3.632941706438581e-06,0.0007933206427491,5.1812008219562487e-05,TFs_and_others_HIC1,2589.0
1177,2.0549703595956284e-05,2.2524321288580688e-08,2.32422217443774e-05,0.0008607963445526,3.4581556645690277e-06,TFs_and_others_ZNF146,2590.0
805,0.0001829020042079,2.443809001763029e-08,1.6795050840086072e-05,0.0007785660168115,2.9199986217538644e-05,TFs_and_others_HES1,2614.0
1178,8.505984177644443e-06,7.639105273337612e-09,9.283639492078013e-06,0.0009027930515729,1.3045171993114264e-05,TFs_and_others_NFKBIZ,2614.0
633,9.274004558760996e-05,3.387220936365108e-08,0.0001042507126922,0.0008213533995634,9.98657010769083e-07,TFs_and_others_ZBTB10,2619.0
485,-0.0003002751204956,2.321482866344115e-07,1.8081575096387607e-05,0.0012076437375852,7.63218180320241e-05,TFs_and_others_NFE2,2619.0
