,mean_IG,mean_DL,mean_GS,mean_GB,mean_IXG,feature_names,borda_rank
1552,0.0055243296255987,2.409673230622405e-05,0.0020519828214372,-0.0058697973116929,0.002857934372793,Histone_H2A.ZK4K7K11ac,1672.0
1470,0.0040330070549996,2.020424467495388e-05,0.0003737422201901,-0.0043116953803567,0.0010241285209841,TFs_and_others_GATA1,1682.0
1638,0.0024647785817421,3.982171108823744e-05,0.0005617739127747,-0.0039036677943292,0.0002314420529808,TFs_and_others_MEIS1,1695.0
822,0.0038307127243329,-2.0584138857634205e-07,0.0004707469896881,-0.0010982386453394,0.0011499275232841,TFs_and_others_HMGB1,1724.0
1607,0.0012669609901714,1.06514063345263e-05,8.954454299291585e-06,-0.0023931359581986,0.0003988337388293,TFs_and_others_ZNF341,1740.0
1589,0.0013985653114594,4.09337698066851e-06,8.386092361720792e-05,-0.0028776908903678,0.0004807439388199,TFs_and_others_ONECUT2,1741.0
1864,0.0005476685257202,6.421075803954327e-06,0.0003534122971578,-0.0030309452777157,0.0002640669533229,TFs_and_others_BCL3,1750.0
1433,0.0003173117882682,6.841489454453708e-06,1.2384846623343251e-05,-0.0020681311100478,9.185312840172918e-05,TFs_and_others_ZNF883,1756.0
1844,0.0046557100935882,4.3320427463080725e-05,0.0012874836917473,-0.0066753271733779,0.0010283579402876,TFs_and_others_CNOT3,1759.0
236,0.0057722186608766,9.126262894933144e-05,0.0010790473228553,-0.0084618899122016,0.0020251652908825,Histone_H4K4me3,1773.0
1487,0.0008554944947524,9.042669670264254e-05,0.0001739422833661,-0.0038666308285533,0.000297400952715,TFs_and_others_NR2F1,1777.0
98,0.0001282780820309,2.3950625156070853e-06,2.313894071551021e-05,-0.0017979322645872,4.451412455507071e-05,TFs_and_others_ZNF766,1778.0
339,0.0093029134352701,3.5267772412430776e-05,0.0024880922572279,-0.0107917577546629,0.0031813425919616,TFs_and_others_MITF,1804.0
1200,0.003573049598345,7.418493383350501e-05,0.0022542816673209,-0.0107306278174292,0.0057588398853655,TFs_and_others_NRF1,1806.0
1199,0.007365787389516,0.0001625751825855,0.0035005112885208,-0.0132666566656351,0.0037324604712119,TFs_and_others_ZBTB7A,1807.0
1186,0.0003617627946084,4.555118685563127e-07,7.442759720665866e-07,-0.001159791616836,4.338645714884501e-05,TFs_and_others_HEY1,1809.0
244,0.0148445739301665,-7.9562147656006e-06,0.0404305653515251,0.0215155111992031,0.0410801770816593,Histone_H3K4me3,1821.0
1573,0.001741308798628,8.056837502398287e-06,1.033634347295374e-05,-0.0025155102691843,0.0001616025042448,TFs_and_others_RUVBL2,1849.0
466,0.0004855046470613,9.946808353425029e-08,2.8003659908644814e-06,-0.0012780353282184,6.99436353583928e-05,TFs_and_others_ZNF257,1854.0
133,0.000176035793398,4.065359531100293e-07,0.0002572099814944,-0.0020358474008803,9.469963959672944e-05,TFs_and_others_ETV5,1889.0
657,0.0003636647269414,1.4233386419366002e-05,0.0002650355160461,-0.0032973610778737,7.991582329359058e-05,TFs_and_others_LMNA,1911.0
12,0.0015416966343006,7.72003826934213e-06,0.0001274258990628,-0.0046569368642253,0.000643750989948,Histone_H3K31ac,1924.0
1036,0.0103699595666274,-1.1731043328975138e-05,0.0026584608268903,-0.0003989539249517,0.0019920293930399,TFs_and_others_BCOR,1942.0
267,0.0008246471717406,1.375344435364557e-06,7.161086804624448e-05,-0.0026356760084617,0.000176450861546,TFs_and_others_MAFB,1944.0
251,0.0042602896852218,1.1989791296358096e-05,0.0013015214860237,-0.0108598589263711,0.0011047509445648,Histone_H4K5K8ac,1950.0
291,1.2579591840008413e-05,3.4426152479410915e-06,1.5223886484478196e-05,-0.0016245139702897,3.294303433081379e-05,TFs_and_others_HDAC3,1955.0
509,5.476176741191319e-05,6.627895947681986e-06,0.0001106365912733,-0.0024750953658845,0.0001031956267187,TFs_and_others_ZEB2,1967.0
640,0.015721011144354,-0.0003208134221621,0.0047324518284704,0.005191274788432,0.0103453684536076,Histone_H3K4me2,1976.0
541,0.012013161351529,-0.000144007933976,0.0115092651740288,0.0081043084353645,0.0044040388784796,TFs_and_others_Epitope tags,1978.0
606,0.0033679944806638,1.5208566224265284e-05,0.0006395510923724,-0.0116428478495133,0.0013506266472903,TFs_and_others_SNAI2,1986.0
697,0.0106431785605567,5.016491195434242e-05,0.0025776749507022,-0.2139378107939555,0.0060749292889285,TFs_and_others_E2F1,2006.0
1588,0.0004885184818903,3.527474912699323e-06,0.0002877414853314,-0.0040258732340878,0.0002829430828011,TFs_and_others_FOS,2007.0
269,0.0044187751473216,-2.0783349224314743e-05,0.0014928218772096,0.0005423043890856,0.0019125323022758,TFs_and_others_TET1,2014.0
1427,-0.0028324644237703,0.0001229208392124,0.0023094349107438,0.0024991824523249,0.0020028119355157,TFs_and_others_EZH2,2015.0
485,0.0004202102377416,1.3409970703448873e-08,0.0002137615174997,-0.0020483428642526,0.0001742535100014,TFs_and_others_NFE2,2039.0
1302,0.0001544556100853,3.683449573445809e-06,0.0001928550436748,-0.0026581191364779,4.056148761408312e-05,TFs_and_others_ING5,2041.0
368,0.0002597674783169,3.3268438925610497e-06,8.078054518586807e-06,-0.0020859290316714,3.222539001172476e-05,TFs_and_others_KLF8,2060.0
1154,0.0087869827523687,-8.657600421792934e-05,0.001562556329159,-0.0012539576086689,0.0116701741649605,Histone_H2A.Zac,2063.0
1479,0.0027596505744606,-5.852826924781542e-06,0.0005497240603387,-0.001149124054297,0.0008268870781019,TFs_and_others_SUPT5H,2065.0
1938,0.0005167157209471,7.4361563953003345e-06,0.000377385571537,-0.0051840343723416,0.000196119902413,TFs_and_others_BRCA1,2066.0
1464,0.0020431392287551,-3.419953136405157e-05,0.001674675581105,-0.0001705588064055,0.0027732496764369,TFs_and_others_KDM1A,2068.0
1485,0.0001035153356102,3.033973995689863e-06,0.0001794203939065,-0.0028081085127104,9.581543482818212e-05,TFs_and_others_XPO1,2077.0
1597,0.0001790883269554,3.933614670861796e-06,5.0795295567484005e-05,-0.0025317318535875,3.838724329939253e-05,TFs_and_others_ATRX,2085.0
93,0.0014712852616555,3.1856137614958983e-06,0.0001408551277257,-0.0059817166107265,0.0011263160067393,TFs_and_others_CHD6,2093.0
1741,0.0001419118136006,9.737068462211397e-07,3.413635867593043e-06,-0.0016954771829983,3.106749887440891e-05,Histone_H3R26cit,2108.0
1882,0.0007649126282754,2.9050097470844094e-06,9.730699323341848e-06,-0.0026857551847347,0.0001366321584771,TFs_and_others_NME2,2119.0
617,0.0020163548302734,5.694801442672771e-05,0.0004040307948703,-0.0235178853815686,0.0010478123921496,TFs_and_others_RELA,2122.0
1845,0.0014893990188653,1.851528679830441e-05,0.0009803083739747,-0.0221359792022784,0.0012661878418144,TFs_and_others_ZFHX2,2123.0
547,0.0012931740803343,2.087467122142445e-06,0.0002155000092022,-0.0054246931565134,0.0005500455014853,TFs_and_others_MYH11,2124.0
1432,0.0002867589585074,1.9016558727322203e-05,0.0005378750938125,-0.0063292968429255,0.000183377288016,TFs_and_others_PBX3,2128.0
635,6.025124109116177e-05,2.0814896473782037e-06,3.5753190098921794e-05,-0.0023546469837493,0.0001351510656086,TFs_and_others_MCM7,2137.0
188,9.712198812429668e-05,5.4037668195375386e-08,6.495594086852621e-05,-0.0017232316535196,3.664597307499527e-05,TFs_and_others_MIER2,2146.0
312,0.0055420857172509,3.2650117230417968e-06,0.0004864270520488,-0.0171545711217254,0.0057887963270942,TFs_and_others_RAD21,2147.0
153,0.0029505812217621,4.366167423047852e-05,0.0001133964980937,-0.0154895163867991,0.0007435028800657,TFs_and_others_GRHL3,2157.0
418,0.0002322388648507,7.688555860129218e-07,9.964918602960816e-06,-0.0022125663096217,0.0001792491744937,TFs_and_others_ZNF366,2162.0
234,-0.0033389396010958,0.0002545192008121,0.0043790900238787,-0.0004788037149976,0.0001723065172483,TFs_and_others_5-mC,2174.0
490,0.0026215556439699,-2.5748367708953077e-05,0.0012386538466282,-0.0013545369328644,0.0012940545536041,TFs_and_others_AR,2179.0
1030,0.0020234190028228,4.870220640317381e-06,0.0003140707272713,-0.0100366796001336,0.0004024094749311,TFs_and_others_CHD8,2182.0
586,0.0002057040292915,1.4967412770193856e-07,2.918243036039838e-06,-0.0015361823280457,2.459900810455126e-05,TFs_and_others_MXD3,2226.0
1937,0.0018521746473336,2.139713730932933e-06,9.595396832471858e-05,-0.0056977119645739,0.0002727317971249,TFs_and_others_NONO,2239.0
15,2.1096649919025755e-05,1.6011978962957015e-06,1.6908763340091642e-06,-0.0015503414000195,1.6767674270588772e-05,TFs_and_others_MAPK14,2261.0
1924,0.0002927931709881,2.872331740940947e-06,0.0001734773509903,-0.0051504218474558,0.0002451515742411,TFs_and_others_SMAD2,2265.0
347,0.000268439679447,6.721585770505686e-06,4.684226101832116e-05,-0.0042522717014679,0.0001263810082657,TFs_and_others_LMNB1,2271.0
1694,0.0008074304359845,2.268920882258309e-07,2.9109647798845e-05,-0.0020129665823414,1.049860771017522e-05,Histone_H3K28ac,2276.0
1175,0.0010107664293908,-1.893114880271725e-05,0.0005192571911822,-0.0013881945521911,0.0006968827666124,TFs_and_others_RBFOX2,2321.0
1617,0.0001277634745783,1.1358962640354767e-06,1.0408885398958088e-05,-0.0022043514837228,2.9667105614873444e-05,TFs_and_others_ZHX3,2337.0
528,0.0012553753936712,3.3656621048842627e-05,0.0002107617500385,-0.0324317356068617,0.000255214558053,TFs_and_others_ZBTB14,2353.0
1808,0.000223819384599,8.335936097133395e-07,5.2952960931408e-05,-0.0027487250617342,4.387894003920317e-05,TFs_and_others_CPSF4,2361.0
1484,0.0005556222172273,1.4823469853807788e-07,5.208370612357136e-05,-0.0019827847144077,3.929678357035178e-06,TFs_and_others_TOX4,2368.0
1331,0.0022369464444267,3.040485514982253e-06,0.0002845585938959,-0.0283551045841306,0.0008661201555182,TFs_and_others_CDKN1B,2371.0
1536,0.0003556134760208,5.215722293381559e-06,4.291819977539188e-05,-0.005364732790457,0.0001357677277057,TFs_and_others_MAU2,2377.0
759,1.8605668916837823e-05,6.365284853939284e-06,4.371729044184435e-05,-0.0022958328408906,1.09940194128138e-05,Histone_H4K20me3,2378.0
1372,5.862112864612898e-05,1.348896033045687e-07,2.5071984376100933e-06,-0.0013476641910379,6.8934448389498045e-06,TFs_and_others_BPTF,2387.0
439,0.0002401115378682,1.2679907956673235e-05,0.0012598040440545,-0.0285108591997779,0.0003501145095846,TFs_and_others_SFPQ,2390.0
1810,0.0001356683527066,-2.992949741226196e-05,0.000669415094034,-0.0006004317481223,0.0009172214316963,TFs_and_others_TFEB,2390.0
1377,0.0019599332205742,-4.202969565112422e-06,0.0003614568054618,-0.0014790305798047,0.0001309661410772,TFs_and_others_GABPA,2394.0
627,9.373899870418088e-05,6.637838082494143e-06,0.0001190956619605,-0.0076840147863463,0.0004944899139233,TFs_and_others_NCAPH2,2411.0
1615,0.0003273661178232,2.322571145440328e-06,-1.7509889417890718e-06,-0.0016756453767707,7.775403644189182e-05,TFs_and_others_NFATC2,2439.0
1812,0.0002704678728925,1.706130069761034e-06,0.0001977828987411,-0.0060814777545832,0.0001611878906106,TFs_and_others_HCFC1,2443.0
1735,-3.0680119726657415e-07,2.9365102137796293e-06,2.228246882239128e-05,-0.0014881318206872,4.492875371235936e-06,TFs_and_others_ZNF645,2452.0
970,0.0001730987555905,6.629752667429159e-06,-0.0004558761568217,-0.001072941825196,0.0008501718926352,TFs_and_others_MED12,2457.0
1852,0.0001038081253695,2.0581441898410228e-06,1.3932301568702849e-05,-0.0022796792061348,6.240371877521109e-06,TFs_and_others_ZNF274,2465.0
605,0.0007035179176067,8.733926236196281e-06,6.420645469993871e-05,-0.0166506056835849,0.0002912926855723,TFs_and_others_ARID1B,2465.0
987,0.0027222931981063,-4.0263254442091376e-05,0.0013767702352849,0.0015291813561681,1.818516619796404e-05,TFs_and_others_WDR5,2475.0
1562,7.948253939512578e-05,8.773286431778718e-07,1.51057366716282e-05,-0.0020825062918714,6.95185751376193e-06,TFs_and_others_NKRF,2486.0
497,0.00049141905011,3.942213557609539e-06,0.0002317475752052,-0.0154719561963009,0.0001654310776788,TFs_and_others_ZNF800,2493.0
1605,5.997668806813634e-05,1.0363184745476711e-05,3.194528137178678e-06,-0.0033445311366968,0.0002931287269913,TFs_and_others_FOSL2,2496.0
1098,2.5802055000622835e-06,5.293302463804839e-07,8.459079806458823e-06,-0.0013845718644799,4.207733061561195e-06,TFs_and_others_ZBTB49,2503.0
1290,0.0001402172777879,1.461267192039936e-05,-3.226427014739789e-05,-0.0015468840831571,0.000257803354292,TFs_and_others_CPSF2,2505.0
477,0.0003994851156793,1.0061693431094787e-05,9.892547390121188e-05,-0.0015637806156898,-7.914229879127394e-05,TFs_and_others_SMARCB1,2505.0
933,0.0006943618037368,3.434824411940517e-06,-0.0001502211640234,-0.000947748733484,6.742984094128194e-05,TFs_and_others_DNMT3A,2508.0
695,0.0068433638404594,8.994114765643649e-07,0.0008872162912661,-0.0790035797552414,0.0007550966583429,TFs_and_others_RNF2,2508.0
872,0.0012157601813236,8.111722574973651e-05,-0.0005562488547237,-0.0016510448262091,0.0006618907927606,TFs_and_others_PBX1,2525.0
1738,1.1409879913486704e-05,1.4898726744029451e-06,3.12248740424925e-06,-0.0016222558982169,3.1736820998049928e-06,TFs_and_others_PPARD,2531.0
243,0.0042810901776431,5.312675649812132e-07,0.0009306785907855,-0.1833484959035212,0.0049751606508755,TFs_and_others_ARNT,2546.0
578,0.0002772696373277,1.623733986623669e-05,-0.0001650762251914,-0.0012311956098734,3.915400510790717e-05,TFs_and_others_DDX21,2553.0
102,0.0009183260885512,-1.5004946957935104e-06,0.0002647780970624,-0.001804022895837,0.0004019806064318,TFs_and_others_ZNF143,2556.0
169,0.0005656973580931,6.571325638859625e-06,-4.6275563940518605e-05,-0.0008265564240538,1.100568100549614e-05,TFs_and_others_KLF10,2560.0
1086,0.0002874882152965,8.981386226299313e-06,-0.0006742956674126,-0.0014446201521725,0.0006470592661246,TFs_and_others_TFE3,2565.0
7,0.0017787588020245,1.8229846299263612e-06,0.0002214241689158,-0.2050723516704092,0.0005134040182767,TFs_and_others_RAG1,2570.0
1401,8.243576577544263e-05,1.0568320106888574e-06,2.4991094683829877e-05,-0.0024992926582425,1.1294285162773947e-05,TFs_and_others_MEF2C,2576.0
1474,0.0002659430933443,1.3584529292018946e-06,2.8339555769087064e-05,-0.0047650244359193,0.0001332771008471,TFs_and_others_BRPF1,2578.0
649,0.0005783384487295,3.205546598783233e-06,0.0002102951834897,-0.0991140752814209,0.000420132179792,TFs_and_others_HOXA3,2582.0
70,-4.0550777762201054e-05,7.051727329833424e-06,9.571146995130644e-06,-0.0016631229823796,0.0005148457342752,TFs_and_others_EP400,2595.0
341,0.0006954402628064,8.876082792198911e-06,0.0001096531818068,-0.0279057776663971,7.246766899309238e-05,TFs_and_others_NR5A1,2601.0
1441,3.30391936385128e-05,1.687898618140395e-06,-2.2582698427887763e-06,-0.0013950782699767,4.245407805493847e-05,TFs_and_others_ZNF446,2602.0
1027,0.0002166185048805,1.8058250302747573e-06,1.2156221175810351e-05,-0.0041890852018075,0.0001286691027337,TFs_and_others_ZNF281,2607.0
358,0.0002063896273449,2.4208761769626595e-05,-8.746197242111579e-05,-0.0016573818906925,0.0004645129556365,TFs_and_others_CBFB,2608.0
1475,3.039613406014991e-05,2.462037930387515e-06,5.530767144484665e-05,-0.0038610809591204,9.108044732851504e-05,TFs_and_others_MBD2,2608.0
6,0.000729541361771,3.741680482922422e-06,0.0001891939853502,-0.2480140225340011,0.0002314185258977,TFs_and_others_ZNF691,2612.0
426,0.0012028294716369,3.4840015537326657e-06,-0.0004370436505191,-0.0013112304636245,6.692517337820731e-05,TFs_and_others_IRF1,2614.0
1568,0.0021763705220025,1.3440370626379591e-06,0.0001429242817706,-0.0072226011579269,1.9190311050938957e-05,TFs_and_others_HNRNPLL,2617.0
14,3.4086230919156543e-05,1.0410097569119363e-06,4.094952375336704e-06,-0.0022541310985493,3.86113313818016e-05,TFs_and_others_NCOA2,2617.0
131,7.508708618955885e-06,1.0179557638643755e-06,6.8207653637796166e-06,-0.0018024086504585,6.455265309435294e-06,TFs_and_others_ZSCAN32,2636.0
641,0.0058520112790787,3.088325166404964e-07,0.0001452820022269,-0.0244251691867769,0.0025326030774,TFs_and_others_ETV6,2662.0
1115,0.0008471052248702,3.242197920825406e-05,0.0006191031059594,-0.0018673387085467,-0.0003452724115472,TFs_and_others_DMC1,2664.0
839,-0.0001107794627481,4.567231933862256e-06,2.7973911136526983e-05,-0.001623683796673,0.0002492296114211,TFs_and_others_ELF3,2675.0
519,0.0002212831907708,4.061353157998928e-07,-2.0506626796873816e-06,-0.0015655336292257,7.134141484131226e-05,TFs_and_others_ZFP69B,2675.0
1934,0.00015553488607,4.104539182803892e-07,3.426221996498478e-05,-0.0032029577437642,4.266825900470752e-05,TFs_and_others_CAMTA2,2684.0
1087,0.0006391040052911,3.675370475652902e-07,5.814912790830377e-05,-0.0017380725416142,-3.977960259594969e-06,TFs_and_others_MYB,2689.0
17,0.0001050982109724,1.2889784884671164e-05,2.1698799428803488e-05,-0.0010551614762563,-0.0003691569705823,TFs_and_others_ZFY,2698.0
